Adams (Pob.),1
Bani,2
Buyon,2
Cabaruan,2
Cabulalaan,2
Cabusligan,2
Cadaratan,2
Calioet-Libong,2
Casilian,2
Corocor,2
Duripes,2
Ganagan,2
Libtong,2
Macupit,2
Nambaran,2
Natba,2
Paninaan,2
Pasiocan,2
Pasngal,2
Pipias,2
Pulangi,2
Pungto,2
San Agustin I (Pob.),2
San Agustin II (Pob.),2
San Andres I (Pob.),2
San Andres II (Pob.),2
San Gabriel I (Pob.),2
San Gabriel II (Pob.),2
San Pedro I (Pob.),2
San Pedro II (Pob.),2
San Roque I (Pob.),2
San Roque II (Pob.),2
San Simon I (Pob.),2
San Simon II (Pob.),2
San Vicente (Pob.),2
Sangil,2
Santa Filomena I (Pob.),2
Santa Filomena II (Pob.),2
Santa Rita (Pob.),2
Santo Cristo I (Pob.),2
Santo Cristo II (Pob.),2
Tambidao,2
Teppang,2
Tubburan,2
Alay-Nangbabaan (Alay 15-B),3
Alogoog,3
Ar-arusip,3
Aring,3
Balbaldez,3
Bato,3
Camanga,3
Canaan (Pob.),3
Caraitan,3
Gabut Norte,3
Gabut Sur,3
Garreta (Pob.),3
Labut,3
Lacuben,3
Lubigan,3
Mabusag Norte,3
Mabusag Sur,3
Madupayas,3
Morong,3
Nagrebcan,3
Napu,3
La Virgen Milagrosa (Paguetpet),3
Pagsanahan Norte,3
Pagsanahan Sur,3
Paltit,3
Parang,3
Pasuc,3
Santa Cruz Norte,3
Santa Cruz Sur,3
Saud,3
Turod,3
Abaca,4
Bacsil,4
Banban,4
Baruyen,4
Dadaor,4
Lanao,4
Malasin,4
Manayon,4
Masikil,4
Nagbalagan,4
Payac,4
San Lorenzo (Pob.),4
Taguiporo,4
Utol,4
Aglipay (Pob.),5
Baay,5
Baligat,5
Bungon,5
Baoa East,5
Baoa West,5
Barani (Pob.),5
Ben-agan (Pob.),5
Bil-loca,5
Biningan,5
Callaguip (Pob.),5
Camandingan,5
Camguidan,5
Cangrunaan (Pob.),5
Capacuan,5
Caunayan (Pob.),5
Valdez Pob. (Caoayan),5
Colo,5
Pimentel (Cubol),5
Dariwdiw,5
Acosta Pob. (Iloilo),5
Ablan Pob. (Labucao),5
Lacub (Pob.),5
Mabaleng,5
Magnuang,5
Maipalig,5
Nagbacalan,5
Naguirangan,5
Ricarte Pob. (Nalasin),5
Palongpong,5
Palpalicong (Pob.),5
Parangopong,5
Payao,5
Quiling Norte,5
Quiling Sur,5
Quiom,5
Rayuray,5
San Julian (Pob.),5
San Mateo,5
San Pedro,5
Suabit (Pob.),5
Sumader,5
Tabug,5
Ablan Sarat,6
Agaga,6
Bayog,6
Bobon,6
Buduan (Malituek),6
Nagsurot,6
Paayas,6
Pagali,6
Poblacion,6
Saoit,6
Tanap,6
Angset,7
Barbaqueso (Pob.),7
Virbira,7
Anggapang Norte,8
Anggapang Sur,8
Bimmanga,8
Cabuusan,8
Comcomloong,8
Gaang,8
Lang-ayan-Baramban,8
Lioes,8
Maglaoi Centro,8
Maglaoi Norte,8
Maglaoi Sur,8
Paguludan-Salindeg,8
Pangil,8
Pias Norte,8
Pias Sur,8
Poblacion I,8
Poblacion II,8
Salugan,8
San Simeon,8
Santa Cruz,8
Tapao-Tigue,8
Torre,8
Victoria,8
Albano (Pob.),9
Bacsil,9
Bagut,9
Parado (Bangay),9
Baresbes,9
Barong,9
Bungcag,9
Cali,9
Capasan,9
Dancel (Pob.),9
Foz,9
Guerrero (Pob.),9
Lanas,9
Lumbad,9
Madamba (Pob.),9
Mandaloque,9
Medina,9
Ver (Naglayaan),9
San Marcelino (Padong),9
Puruganan (Pob.),9
Peralta (Pob.),9
Root (Baldias),9
Sagpatan,9
Saludares,9
San Esteban,9
Espiritu,9
Sulquiano (Sidiran),9
San Francisco (Surrate),9
Suyo,9
San Marcos,9
Elizabeth,9
Dumalneg,10
San Isidro,10
Balioeg,11
Bangsar,11
Barbarangay,11
Bomitog,11
Bugasi,11
Caestebanan,11
Caribquib,11
Catagtaguen,11
Crispina,11
Hilario (Pob.),11
Imelda,11
Lorenzo (Pob.),11
Macayepyep,11
Marcos (Pob.),11
Nagpatayan,11
Valdez,11
Sinamar,11
Tabtabagan,11
Valenciano (Pob.),11
Binacag,11
"Bgy. No. 42, Apaya",12
"Bgy. No. 36, Araniw",12
"Bgy. No. 56-A, Bacsil North",12
"Bgy. No. 56-B, Bacsil South",12
"Bgy. No. 41, Balacad",12
"Bgy. No. 40, Balatong",12
"Bgy. No. 55-A, Barit-Pandan",12
"Bgy. No. 47, Bengcag",12
"Bgy. No. 50, Buttong",12
"Bgy. No. 60-A, Caaoacan",12
"Bry. No. 48-A, Cabungaan North",12
"Bgy. No. 48-B, Cabungaan South",12
"Bgy. No. 37, Calayab",12
"Bgy. No. 54-B, Camangaan",12
"Bgy. No. 58, Casili",12
"Bgy. No. 61, Cataban",12
"Bgy. No. 43, Cavit",12
"Bgy. No. 49-A, Darayday",12
"Bgy. No. 59-B, Dibua North",12
"Bgy. No. 59-A, Dibua South",12
"Bgy. No. 34-B, Gabu Norte East",12
"Bgy. No. 34-A, Gabu Norte West",12
"Bgy. No. 35, Gabu Sur",12
Bgy. No. 32-C La Paz East,12
"Bgy. No. 33-B, La Paz Proper",12
"Bgy. No. 32-B, La Paz West",12
"Bgy. No. 54-A, Lagui-Sail",12
"Bgy. No. 32-A, La Paz East",12
"Bgy. No. 33-A, La Paz Proper",12
"Bgy. No. 52-B, Lataag",12
"Bgy. No. 60-B, Madiladig",12
"Bgy. No. 38-A, Mangato East",12
"Bgy. No. 38-B, Mangato West",12
"Bgy. No. 62-A, Navotas North",12
"Bgy. No. 62-B, Navotas South",12
"Bgy. No. 46, Nalbo",12
